name,language,type,most_streamed_game,average_stream_duration,followers_gained_per_stream,avg_viewers_per_stream,avg_games_per_stream,total_time_streamed,total_followers,total_views,total_games_streamed,active_days_per_week,most_active_day,day_with_most_followers_gained
bysl4m,Russian,personality,Counter-Strike,6.1,642.0,1.491,1.1,2.753,314000,2770000,13,1.2,Friday,Saturday
sasatikk,Japanese,personality,Escape from Tarkov,7.1,223.0,10.98,1.6,10.745,344000,16900000,237,3.9,Monday,Sunday
pauleta_twitch,French,personality,Just Chatting,3.4,866.0,6.531,1.4,3.149,613000,4530000,50,2.4,Monday,Wednesday
magic,English,esports,Magic: The Gathering,4.8,295.0,55.757,1.0,7.211,472000,121000000,2,2.9,Thursday,Sunday
lenagol0vach,Russian,personality,Hearthstone,5.9,381.0,18.774,1.4,7.782,585000,29500000,30,3.4,Sunday,Sunday
antoinedaniel,French,personality,GeoGuessr,4.6,846.0,30.484,1.4,6.241,1030000,37300000,249,4.0,Monday,Sunday
dreadztv,Russian,personality,Dota 2,8.2,234.0,94.945,2.1,11.445,715000,199000000,309,3.6,Wednesday,Thursday
lacy,English,personality,Fortnite,5.6,1.021,6.0,1.3,3.064,537000,3500,52,2.6,Monday,Sunday
fortnite,English,esports,Fortnite,5.2,18.889,352.166,1.0,1.726,5880000,110000000,1,0.9,Sunday,Tuesday
sykkuno,English,personality,Grand Theft Auto V,5.0,4.688,123.683,2.4,5.014,3930000,104000000,155,3.5,Wednesday,Thursday
botezlive,English,personality,Chess,4.2,842.0,56.182,1.4,6.409,1300000,86400000,77,4.0,Friday,Sunday
m0nesyof,Russian,personality,Counter-Strike,3.1,2.64,31.467,1.1,1.152,1000000,11900000,13,1.2,Saturday,Monday
esl_dota2ember,English,esports,Dota 2,20.4,827.0,148.524,1.0,23.43,605000,137000000,1,2.9,Wednesday,Tuesday
wankilstudio,French,personality,Just Chatting,3.2,1.578,28.771,1.8,2.282,1250000,25500000,483,1.8,Sunday,Tuesday
rdcgaming,English,personality,Fortnite,3.8,1.241,3.957,1.8,2.227,717000,2270000,172,1.5,Wednesday,Sunday
aztecross,English,personality,Destiny 2,5.0,306.0,1.959,1.1,7.012,446000,2850000,107,3.6,Tuesday,Tuesday
worldoftanks,English,esports,World of Tanks,3.8,596.0,37.723,1.0,2.93,462000,29300000,2,2.3,Friday,Sunday
evo,English,esports,Special Events,8.4,6.359,338.908,2.5,614.0,571000,53500000,40,0.2,Monday,Sunday
amazonmusic,English,personality,Music,2.2,803.0,73.454,1.0,1.768,692000,65000000,15,2.0,Tuesday,Sunday
guilty1223,Japanese,personality,VALORANT,6.4,107.0,346.0,1.1,7.14,158000,512000,109,5.7,Wednesday,Wednesday
cr_vanilla,Japanese,personality,Grand Theft Auto V,6.2,751.0,0.0,1.0,1.695,225000,0,46,3.7,Wednesday,Sunday
h2p_gucio,Polish,personality,Just Chatting,6.7,220.0,24.403,3.2,14.031,421000,46300000,797,5.4,Sunday,Wednesday
jesusavgn,Russian,personality,Just Chatting,4.7,894.0,38.859,2.2,8.782,1780000,75600000,551,4.8,Saturday,Thursday
rdjavi,Spanish,personality,Grand Theft Auto V,3.6,1.034,445.0,1.9,2.691,756000,325000,38,4.4,Friday,Thursday
maximebiaggi,French,personality,Minecraft,3.1,2.008,1.055,1.4,1.06,665000,349000,43,1.8,Monday,Monday
joueur_du_grenier,French,personality,Just Chatting,4.3,1.349,32.261,2.0,2.843,974000,22400000,341,2.2,Sunday,Saturday
skywhywalker,Russian,personality,Counter-Strike,4.2,1.418,792.0,1.5,2.586,866000,484000,49,2.4,Sunday,Sunday
nba2kleague,English,esports,NBA 2K22,3.0,261.0,211.701,1.0,2.882,237000,192000000,8,3.0,Saturday,Saturday
wenlobong,Chinese,personality,Just Chatting,4.2,217.0,19.944,1.1,1.329,71100,6520000,16,1.5,Sunday,Friday
vodkavdk,Japanese,personality,VALORANT,5.8,511.0,1.105,1.3,4.939,526000,1170000,88,2.2,Saturday,Sunday
schlatt,English,personality,Minecraft,2.6,10.314,23.397,1.1,552.0,2120000,4820000,38,0.7,Saturday,Saturday
mrsavage,English,personality,Fortnite,4.2,3.713,37.588,1.1,4.223,4110000,41600000,42,3.2,Saturday,Sunday
bykingcl,Spanish,personality,Just Chatting,2.6,258.0,272.0,1.7,2.921,262000,276000,36,5.0,Wednesday,Sunday
tectone,English,personality,Genshin Impact,5.5,648.0,11.474,1.7,8.008,951000,16800000,285,5.3,Thursday,Tuesday
